"id","created_at","name","has_test","alternate_url"
"113155326","2024-12-12T16:31:54+0300","Junior Data scientist",false,"https://hh.ru/vacancy/113155326"
"113007582","2024-12-11T13:39:20+0300","Data Scientist",false,"https://hh.ru/vacancy/113007582"
"112763125","2024-12-09T13:02:19+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"113159759","2024-12-12T18:12:37+0300","Руководитель Отдела аналитики и управления данными",false,"https://hh.ru/vacancy/113159759"
"113117233","2024-12-12T10:13:14+0300","Data Scientist/Разработчик машинного обучения (ML, NLM, LLM)",false,"https://hh.ru/vacancy/113117233"
"111774190","2024-11-25T15:09:50+0300","Data Scientist",false,"https://hh.ru/vacancy/111774190"
"113278302","2024-12-13T12:13:19+0300","Junior Data scientist",false,"https://hh.ru/vacancy/113278302"
"113278015","2024-12-13T12:11:45+0300","Data Scientist",false,"https://hh.ru/vacancy/113278015"
"112388836","2024-12-03T09:26:53+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/112388836"
"112836663","2024-12-10T11:06:46+0300","Data Scientist",false,"https://hh.ru/vacancy/112836663"
"110283263","2024-11-29T12:27:07+0300","Data Scientist",false,"https://hh.ru/vacancy/110283263"
"112142594","2024-12-11T11:23:58+0300","Data Scientist (удаленно)",false,"https://hh.ru/vacancy/112142594"
"111570608","2024-11-22T11:08:02+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/111570608"
"112836913","2024-12-10T10:25:06+0300","Data Scientist (NLP&ML)",false,"https://hh.ru/vacancy/112836913"
"113148476","2024-12-12T14:15:37+0300","Data Scientist Middle-Level",false,"https://hh.ru/vacancy/113148476"
"112611475","2024-12-05T15:12:46+0300","Data Scientist / Machine Learning Engineer / Аналитик данных",false,"https://hh.ru/vacancy/112611475"
"113290711","2024-12-13T13:16:00+0300","Data Scientist (проект GigaChat)",false,"https://hh.ru/vacancy/113290711"
"112881529","2024-12-13T19:01:44+0300","Data scientist (NLP)",false,"https://hh.ru/vacancy/112881529"
"112070405","2024-12-09T07:31:19+0300","Junior AI Engineer",false,"https://hh.ru/vacancy/112070405"
"112251192","2024-12-01T07:53:03+0300","Data Scientist/ML Engineer",false,"https://hh.ru/vacancy/112251192"
